target_time,y_true_dry_frac,pred_prob_dry,clim_prob_dry,n_pixels,scenario,selected_calibration
2001-05-01,0.3773965691220989,0.38169497,0.17964827989774862,991,random_spi1_rows,isotonic
2001-06-01,0.08269230769230769,0.06638086,0.10655945256578907,1040,random_spi1_rows,isotonic
2001-07-01,0.0,0.00016659911,0.009249053529496334,1074,random_spi1_rows,isotonic
2001-08-01,0.02205177372962608,0.017353069,0.05130344984930175,1043,random_spi1_rows,isotonic
2001-09-01,0.0,0.00048548082,0.05656632088726794,1033,random_spi1_rows,isotonic
2001-10-01,0.0,0.0010250041,0.19524203112085384,1023,random_spi1_rows,isotonic
2001-11-01,0.0,0.00015226907,0.167907539953722,1054,random_spi1_rows,isotonic
2001-12-01,0.0,0.0006635329,0.14229303402516438,1065,random_spi1_rows,isotonic
2002-01-01,0.005050505050505051,0.0019430019,0.18099466182576343,990,random_spi1_rows,isotonic
2002-02-01,0.348643006263048,0.33959478,0.19317394731185364,958,random_spi1_rows,isotonic
2002-03-01,0.058,0.04306919,0.18959800953265987,1000,random_spi1_rows,isotonic
2002-04-01,0.22673267326732674,0.24747841,0.20948455894583157,1010,random_spi1_rows,isotonic
2002-05-01,0.20870425321463898,0.21957372,0.17964827989774862,1011,random_spi1_rows,isotonic
2002-06-01,0.2215628090999011,0.22822261,0.10655945256578907,1011,random_spi1_rows,isotonic
2002-07-01,0.0,0.00028276752,0.009249053529496334,1030,random_spi1_rows,isotonic
2002-08-01,0.04138594802694899,0.032846685,0.05130344984930175,1039,random_spi1_rows,isotonic
2002-09-01,0.05991735537190083,0.05647353,0.05656632088726794,968,random_spi1_rows,isotonic
2002-10-01,0.6701923076923076,0.7097218,0.19524203112085384,1040,random_spi1_rows,isotonic
2002-11-01,0.0,0.00023401888,0.167907539953722,1023,random_spi1_rows,isotonic
2002-12-01,0.0,0.00010243913,0.14229303402516438,1041,random_spi1_rows,isotonic
2003-01-01,0.3307317073170732,0.3100152,0.18099466182576343,1025,random_spi1_rows,isotonic
2003-02-01,0.0,9.437873e-05,0.19317394731185364,982,random_spi1_rows,isotonic
2003-03-01,0.039962825278810406,0.021955786,0.18959800953265984,1076,random_spi1_rows,isotonic
2003-04-01,0.024390243902439025,0.011864031,0.20948455894583157,943,random_spi1_rows,isotonic
2003-05-01,0.04906771344455348,0.032800604,0.17964827989774862,1019,random_spi1_rows,isotonic
2003-06-01,0.24666666666666667,0.26623395,0.10655945256578907,1050,random_spi1_rows,isotonic
2003-07-01,0.0,0.00010655001,0.009249053529496334,1036,random_spi1_rows,isotonic
2003-08-01,0.003898635477582846,0.0023030273,0.05130344984930175,1026,random_spi1_rows,isotonic
2003-09-01,0.003734827264239029,0.0019736611,0.05656632088726794,1071,random_spi1_rows,isotonic
2003-10-01,0.7442557442557443,0.77598125,0.19524203112085384,1001,random_spi1_rows,isotonic
2003-11-01,0.0,0.0010360661,0.167907539953722,1009,random_spi1_rows,isotonic
2003-12-01,0.0,0.00020361708,0.14229303402516438,1000,random_spi1_rows,isotonic
2004-01-01,0.0,0.00045692382,0.18099466182576343,1032,random_spi1_rows,isotonic
2004-02-01,0.0,0.0003355268,0.19317394731185364,1013,random_spi1_rows,isotonic
2004-03-01,0.8732125834127741,0.9024839,0.18959800953265984,1049,random_spi1_rows,isotonic
2004-04-01,0.8529698149951315,0.88889295,0.20948455894583157,1027,random_spi1_rows,isotonic
2004-05-01,0.2003968253968254,0.21411404,0.17964827989774862,1008,random_spi1_rows,isotonic
2004-06-01,0.057291666666666664,0.07103077,0.10655945256578907,960,random_spi1_rows,isotonic
2004-07-01,0.0,0.00063054234,0.009249053529496334,976,random_spi1_rows,isotonic
2004-08-01,0.0,0.00017219629,0.05130344984930175,1028,random_spi1_rows,isotonic
2004-09-01,0.014492753623188406,0.006420495,0.05656632088726794,1035,random_spi1_rows,isotonic
2004-10-01,0.0,2.5785921e-05,0.19524203112085384,1080,random_spi1_rows,isotonic
2004-11-01,0.10434782608695652,0.09630203,0.167907539953722,1035,random_spi1_rows,isotonic
2004-12-01,0.0,9.2834234e-05,0.14229303402516438,1028,random_spi1_rows,isotonic
2005-01-01,0.005865102639296188,0.0054448005,0.18099466182576343,1023,random_spi1_rows,isotonic
2005-02-01,0.0,0.0011137725,0.19317394731185364,1034,random_spi1_rows,isotonic
2005-03-01,0.004752851711026616,0.0021258479,0.18959800953265984,1052,random_spi1_rows,isotonic
2005-04-01,0.008426966292134831,0.0034436106,0.20948455894583157,1068,random_spi1_rows,isotonic
2005-05-01,0.0,0.00011505603,0.17964827989774862,1022,random_spi1_rows,isotonic
2005-06-01,0.06679960119641076,0.07053899,0.10655945256578907,1003,random_spi1_rows,isotonic
2005-07-01,0.002982107355864811,0.001209284,0.009249053529496334,1006,random_spi1_rows,isotonic
2005-08-01,0.002830188679245283,0.0015313299,0.05130344984930175,1060,random_spi1_rows,isotonic
2005-09-01,0.0,0.00038358915,0.05656632088726794,966,random_spi1_rows,isotonic
2005-10-01,0.05687203791469194,0.04045649,0.19524203112085384,1055,random_spi1_rows,isotonic
2005-11-01,0.07677902621722846,0.05424395,0.167907539953722,1068,random_spi1_rows,isotonic
2005-12-01,0.0,9.829135e-05,0.14229303402516438,982,random_spi1_rows,isotonic
2006-01-01,0.0,0.0010276597,0.18099466182576343,1021,random_spi1_rows,isotonic
2006-02-01,0.0009765625,0.00052755425,0.19317394731185364,1024,random_spi1_rows,isotonic
2006-03-01,0.0,5.1994728e-05,0.18959800953265984,993,random_spi1_rows,isotonic
2006-04-01,0.0009337068160597573,9.16419e-05,0.20948455894583157,1071,random_spi1_rows,isotonic
2006-05-01,0.005,0.0023665116,0.17964827989774862,1000,random_spi1_rows,isotonic
2006-06-01,0.04365482233502538,0.03698676,0.10655945256578907,985,random_spi1_rows,isotonic
2006-07-01,0.0,7.120467e-05,0.009249053529496334,1049,random_spi1_rows,isotonic
2006-08-01,0.035238095238095235,0.026758164,0.05130344984930175,1050,random_spi1_rows,isotonic
2006-09-01,0.059415911379657606,0.069630295,0.05656632088726794,993,random_spi1_rows,isotonic
2006-10-01,0.25717017208413,0.2592683,0.19524203112085384,1046,random_spi1_rows,isotonic
2006-11-01,0.02999062792877226,0.019331865,0.167907539953722,1067,random_spi1_rows,isotonic
2006-12-01,0.0,4.8189602e-05,0.14229303402516438,1024,random_spi1_rows,isotonic
2007-01-01,0.9990253411306043,0.9977429,0.18099466182576343,1026,random_spi1_rows,isotonic
2007-02-01,0.0,3.804927e-05,0.19317394731185364,1005,random_spi1_rows,isotonic
2007-03-01,0.8529980657640233,0.90269285,0.18959800953265984,1034,random_spi1_rows,isotonic
2007-04-01,0.0,0.0004899638,0.20948455894583157,1030,random_spi1_rows,isotonic
2007-05-01,0.4742798353909465,0.5259075,0.17964827989774862,972,random_spi1_rows,isotonic
2007-06-01,0.02881844380403458,0.020205345,0.10655945256578907,1041,random_spi1_rows,isotonic
2007-07-01,0.0,0.00023130201,0.009249053529496334,1030,random_spi1_rows,isotonic
2007-08-01,0.0259222333000997,0.017048629,0.05130344984930175,1003,random_spi1_rows,isotonic
2007-09-01,0.0,0.00038985995,0.05656632088726794,1009,random_spi1_rows,isotonic
2007-10-01,0.014910536779324055,0.0069637997,0.19524203112085384,1006,random_spi1_rows,isotonic
2007-11-01,0.70042194092827,0.70836824,0.167907539953722,948,random_spi1_rows,isotonic
2007-12-01,0.03896103896103896,0.03831502,0.14229303402516438,1001,random_spi1_rows,isotonic
2008-01-01,0.0,5.6633024e-05,0.18099466182576343,997,random_spi1_rows,isotonic
2008-02-01,0.03140333660451423,0.028576206,0.19317394731185364,1019,random_spi1_rows,isotonic
2008-03-01,0.9333333333333333,0.9589783,0.18959800953265984,1050,random_spi1_rows,isotonic
2008-04-01,0.8484546360917248,0.860518,0.20948455894583157,1003,random_spi1_rows,isotonic
2008-05-01,0.4533333333333333,0.4693616,0.17964827989774862,1050,random_spi1_rows,isotonic
2008-06-01,0.42857142857142855,0.4275784,0.10655945256578907,1057,random_spi1_rows,isotonic
2008-07-01,0.0029615004935834156,0.0015755217,0.009249053529496334,1013,random_spi1_rows,isotonic
2008-08-01,0.04376784015223597,0.033473324,0.05130344984930175,1051,random_spi1_rows,isotonic
2008-09-01,0.148,0.15240082,0.05656632088726794,1000,random_spi1_rows,isotonic
2008-10-01,0.0,0.002253962,0.19524203112085384,955,random_spi1_rows,isotonic
2008-11-01,0.0,0.00021555228,0.167907539953722,1031,random_spi1_rows,isotonic
2008-12-01,0.43857965451055664,0.46277893,0.14229303402516438,1042,random_spi1_rows,isotonic
2009-01-01,0.7611056268509379,0.78553146,0.18099466182576343,1013,random_spi1_rows,isotonic
2009-02-01,0.0,0.0007374736,0.19317394731185364,956,random_spi1_rows,isotonic
2009-03-01,0.06267806267806268,0.05812217,0.18959800953265984,1053,random_spi1_rows,isotonic
2009-04-01,0.2764067127344521,0.27642623,0.20948455894583157,1013,random_spi1_rows,isotonic
2009-05-01,0.0,0.00052535604,0.17964827989774862,1057,random_spi1_rows,isotonic
2009-06-01,0.006572769953051643,0.002698689,0.10655945256578907,1065,random_spi1_rows,isotonic
2009-07-01,0.0,0.0006038465,0.009249053529496334,1045,random_spi1_rows,isotonic
2009-08-01,0.0,0.0014356524,0.05130344984930175,1044,random_spi1_rows,isotonic
2009-09-01,0.048826291079812206,0.036583878,0.05656632088726794,1065,random_spi1_rows,isotonic
2009-10-01,0.0,0.0009549209,0.19524203112085384,1019,random_spi1_rows,isotonic
2009-11-01,0.6227657572906867,0.6362386,0.167907539953722,1063,random_spi1_rows,isotonic
2009-12-01,0.0,1.131076e-05,0.14229303402516438,1073,random_spi1_rows,isotonic
2010-01-01,0.0,0.00022307973,0.18099466182576343,1079,random_spi1_rows,isotonic
2010-02-01,0.0,0.0005718494,0.19317394731185364,1016,random_spi1_rows,isotonic
2010-03-01,0.07850834151128558,0.058179934,0.18959800953265984,1019,random_spi1_rows,isotonic
2010-04-01,0.0,6.530181e-05,0.20948455894583157,1009,random_spi1_rows,isotonic
2010-05-01,0.0890890890890891,0.07975983,0.17964827989774862,999,random_spi1_rows,isotonic
2010-06-01,0.17894736842105263,0.15911402,0.10655945256578907,1045,random_spi1_rows,isotonic
